"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree"
"0500000US06071","San Bernardino County, California","1390788","537","32497","3537","246","209","377","292","1299","602","3537","1191","6758","1541","4982","1692","5846","1364","39171","4845","4920","1155","14927","2512","35918","3909","28997","4077","38543","5079","50126","4715","313999","8616","44405","3894","101663","5509","237858","8531","112024","6817","203015","7643","82143","6268","16779","1952","10758","1970"
"0500000US06073","San Diego County, California","2287472","362","44464","4384","380","279","262","342","1914","896","3780","1194","9681","2362","6384","1668","9368","2420","44536","4825","7888","2032","14437","2607","31629","3859","19941","2653","29676","3010","48135","3772","362645","12961","52725","3868","144591","6795","353399","11853","188990","8377","560064","12018","235768","7949","68844","5223","47971","3451"
"0500000US06075","San Francisco County, California","701279","912","21933","2576","365","257","172","164","307","276","591","509","2829","1188","1294","646","3673","1058","9380","2473","1081","650","6042","1689","8427","1942","5290","1421","4801","1428","15354","2545","72645","5490","10634","2274","22409","2793","64872","5189","34056","3022","245885","6939","115406","6134","34277","3447","19556","2340"
"0500000US06077","San Joaquin County, California","484712","497","17375","2535","144","171","101","120","688","562","1076","537","2563","812","3306","1153","673","544","19706","3602","3040","1131","8008","1976","7052","2274","6961","1647","13099","2057","15134","1845","125670","6194","15456","2337","31226","3432","75810","4896","40829","3455","68256","5535","19580","2272","6299","1385","2660","897"
"0500000US06079","San Luis Obispo County, California","191183","722","2540","1027","0","216","27","47","0","216","277","396","363","357","0","216","0","216","1624","1004","908","779","802","686","1568","787","1928","781","3015","1183","4620","1289","31806","3438","5360","1369","14799","2168","32867","3060","17608","2108","43577","3419","19302","2052","5226","1123","2966","848"
"0500000US06081","San Mateo County, California","555980","1089","11835","2629","242","235","211","248","746","795","649","485","2284","919","1525","955","2452","1225","5459","1878","2019","1152","3646","1237","3954","1644","3528","1205","4409","1270","9530","2034","76152","5309","9184","1953","23325","2331","62499","4662","41384","3699","159935","5298","82277","3797","24825","2513","23910","2418"
"0500000US06083","Santa Barbara County, California","278334","893","5725","1471","67","111","59","99","434","383","1822","1041","3735","1462","2285","880","1241","668","15356","2907","1351","722","3106","1279","6792","1548","2371","814","3890","1292","3941","1021","43264","3667","7369","1430","16288","1979","41894","3655","21302","2722","57383","3578","24352","2228","6823","1422","7484","1209"
"0500000US06085","Santa Clara County, California","1350681","533","30945","3316","663","387","731","573","1321","872","2281","897","3485","1163","4841","1539","3882","1185","26223","3671","4764","1579","8426","1760","11304","2274","11472","2154","9626","1833","28926","2719","166250","8558","19615","2129","51413","4497","146509","7386","92749","5264","378617","9910","245269","7584","38072","3411","63297","3919"
"0500000US06087","Santa Cruz County, California","181121","668","3730","1385","0","216","0","216","913","903","17","31","1623","960","895","742","979","704","4719","1968","1356","857","1381","989","2108","949","1711","1201","604","445","2633","879","22780","2571","5167","1370","10639","1709","24870","2330","15618","1990","45805","3799","22048","2310","6021","1235","5504","1193"
"0500000US06089","Shasta County, California","127504","791","355","259","0","216","0","216","0","216","13","27","186","156","259","329","75","124","311","278","38","52","518","415","733","419","1420","519","2594","1119","2089","817","27201","2486","4499","1163","13288","1743","28901","2681","17233","2108","19470","2001","5953","1128","1690","540","678","352"
